time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
9.999999999999786837e-02,4.338395605476933481e-01,-1.684001700886414736e-03,3.710552538958385854e-02,4.338392236691373527e-01,-1.684318535646466821e-03,3.709309287458813220e-02,4.438277842551751062e-01,3.409555412089537718e-03,6.089265124563536524e-03
1.099999999999994316e-01,4.337275932177880322e-01,-2.050631542480476147e-03,4.485198705119555068e-02,4.337276039270803740e-01,-2.050956756051092005e-03,4.483873348798544239e-02,4.444968996995363186e-01,3.546520125604663010e-03,8.512801403871672612e-03
1.199999999999974420e-01,4.333661222940857760e-01,-2.434709563738007843e-03,5.294620817943923585e-02,4.333667584631182290e-01,-2.434976165270514876e-03,5.293119088532611399e-02,4.448658056169018105e-01,4.174316397405897217e-03,1.127602853222131607e-02
1.299999999999990052e-01,4.327392996735611730e-01,-2.831252891463689140e-03,6.129152192108462682e-02,4.327406756741262739e-01,-2.831483942267018841e-03,6.127489267239619175e-02,4.453654144089380651e-01,4.990750260724596821e-03,1.408182936735724589e-02
1.400000000000005684e-01,4.318390038880262072e-01,-3.235772043411362653e-03,6.980136304557213456e-02,4.318410431673084804e-01,-3.236173053798657977e-03,6.978393873104445089e-02,4.461117085793545600e-01,5.712121720341467590e-03,1.823494299392103279e-02
1.499999999999985789e-01,4.306638705201074613e-01,-3.644286871487385348e-03,7.839937177279755753e-02,4.306662952469111905e-01,-3.645126628297666767e-03,7.838269695186048103e-02,4.468991285265505597e-01,6.554887758631167127e-03,2.184572474443779999e-02
1.600000000000001421e-01,4.292182266498164589e-01,-4.053319430044937700e-03,8.701909834387060172e-02,4.292208485806384699e-01,-4.054688614902287810e-03,8.700372043958796986e-02,4.474761471025761050e-01,7.166496807940681002e-03,2.639027188821996273e-02
1.699999999999981526e-01,4.275110208823171276e-01,-4.459871843798001757e-03,9.560346084281476364e-02,4.275134385218721245e-01,-4.461778256976120516e-03,9.559066403437808945e-02,4.474885054805488593e-01,7.761223055827742856e-03,3.080900158675425882e-02
1.799999999999997158e-01,4.255548096210839404e-01,-4.861395258316049232e-03,1.041040596873831908e-01,4.255570738971735656e-01,-4.863693264908475894e-03,1.040931241238473998e-01,4.471419811901361507e-01,8.372728213272867537e-03,3.446500426306020604e-02
1.899999999999977263e-01,4.233648360963481183e-01,-5.255753749342033029e-03,1.124804193205081460e-01,4.233671182690293411e-01,-5.258285897206674102e-03,1.124704751259475305e-01,4.467685601563932130e-01,9.018065219159765444e-03,3.954215553869233624e-02
1.999999999999992895e-01,4.209582207853732605e-01,-5.641185846168025354e-03,1.206992052380057023e-01,4.209606311905517151e-01,-5.643855226944734411e-03,1.206897833930195563e-01,4.466123911962409654e-01,9.388166433671019107e-03,4.278074591550384831e-02
2.100000000000008527e-01,4.183532692684569509e-01,-6.016265919019462768e-03,1.287334489605313215e-01,4.183558328528574344e-01,-6.019009274927094623e-03,1.287244107252507874e-01,4.465237837294725454e-01,1.024073678466311255e-02,4.771576222104734200e-02
2.199999999999988631e-01,4.155688951907787199e-01,-6.379866296976843820e-03,1.365618025964983884e-01,4.155692452969746431e-01,-6.382972833660982906e-03,1.365587765319822011e-01,4.463905782268271505e-01,1.088382795593029195e-02,5.171692121837179190e-02
2.300000000000004263e-01,4.126241507483632276e-01,-6.731121311466779951e-03,1.441678368251545772e-01,4.126231670703359722e-01,-6.734480581999890275e-03,1.441680076571798808e-01,4.460917367803826084e-01,1.125301725665969754e-02,5.605448327232109840e-02
2.399999999999984368e-01,4.095378542018546231e-01,-7.069393580771387783e-03,1.515393904874407782e-01,4.095351532611743450e-01,-7.073055951129808561e-03,1.515431270575010869e-01,4.456640470123079956e-01,1.214244455203705719e-02,6.120451402747051350e-02
