time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
9.999999999999964473e-02,4.302331899793577774e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.302332779561391374e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365787793148612206e-01,3.020858008555199481e-03,4.803973141473960595e-04
1.099999999999994316e-01,4.302541790538849109e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.302543513550745047e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365879499560871846e-01,3.063994783508161568e-03,5.028444678191190675e-04
1.199999999999992184e-01,4.302747663238236653e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.302749982056770506e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.366045897978376722e-01,3.123972562408872111e-03,5.314291187351605217e-04
1.299999999999990052e-01,4.302949602656322980e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.302952185079463865e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365975165534370372e-01,3.135749952961230935e-03,5.265857572094301275e-04
1.399999999999987921e-01,4.303147694697330161e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.303150122618826789e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365955117238872196e-01,3.017543312909654052e-03,4.534218750674723353e-04
1.500000000000003553e-01,4.303342017562662436e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.303344133391777127e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365967259114084120e-01,2.970730290468015511e-03,4.135370486395562040e-04
1.600000000000001421e-01,4.303532587120647568e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.303534796058617329e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.366040962691604133e-01,3.043666139644685131e-03,5.077161994294643321e-04
1.699999999999999289e-01,4.303719536622003794e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.303721698148879615e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.366136031761901348e-01,3.054541835851520837e-03,4.445408776246884131e-04
1.799999999999997158e-01,4.303902902354088678e-01,8.097722688476773771e-13,-8.460757883241079247e-13,4.303904871550970346e-01,5.855754953576997150e-12,-5.284940357904015792e-12,4.365930123922966422e-01,3.048372694814643902e-03,4.591620639016191774e-04
1.899999999999995026e-01,4.304664396349675570e-01,5.900734530310804637e-05,-6.115086593375103710e-05,4.304666845605591430e-01,5.798890174287187505e-05,-6.010325277450560854e-05,4.365982875565669330e-01,3.048530432390117451e-03,5.589843428044360962e-04
1.999999999999992895e-01,4.308210715018073733e-01,5.824957958022082419e-04,-6.397412867540832465e-04,4.308209918090362134e-01,5.799931520567925061e-04,-6.370643598575308295e-04,4.365996135566091452e-01,3.103389893168967406e-03,6.256022470133570934e-04
2.099999999999990763e-01,4.314474101639155790e-01,1.959360976868996119e-03,-2.219668238857480397e-03,4.314472337377200373e-01,1.955437600893005032e-03,-2.215310817199803335e-03,4.366068009993179233e-01,2.993348786415744867e-03,4.605573111198246750e-04
2.199999999999988631e-01,4.322536234540007016e-01,4.360145985478900907e-03,-5.026670628921197682e-03,4.322534011855074243e-01,4.355655617855879250e-03,-5.021625276486227189e-03,4.366985258909672485e-01,2.980902005741831173e-03,3.457349135620457758e-04
2.300000000000004263e-01,4.331292845918496837e-01,7.824610441656798879e-03,-9.120341002470241584e-03,4.331290955285892474e-01,7.819848202555832253e-03,-9.114908369808504690e-03,4.374743820345807777e-01,3.065580280507129718e-03,-3.161511682087114750e-04
2.400000000000002132e-01,4.339495458666250416e-01,1.231208825904204184e-02,-1.445764460740032488e-02,4.339495043238773553e-01,1.230681683741251427e-02,-1.445146372579107601e-02,4.384338837274097678e-01,2.643372389183523685e-03,-2.102043974180123342e-03
2.500000000000000000e-01,4.345839521016878759e-01,1.773455095331400583e-02,-2.093467899534009330e-02,4.345840415324078720e-01,1.772937407236250054e-02,-2.092846238074125287e-02,4.395843891355636357e-01,3.242703513519296088e-03,-2.424190551049254516e-03
2.599999999999997868e-01,4.349060388865326754e-01,2.397804771510489430e-02,-2.841379217446760030e-02,4.349060775483789554e-01,2.397392503010084552e-02,-2.840870550266729952e-02,4.405992935715633552e-01,3.908002067167848370e-03,-2.756026480105644438e-03
2.699999999999995737e-01,4.348014431606967989e-01,3.091653793625357555e-02,-3.674111759789981668e-02,4.348014986411031235e-01,3.091298795397780241e-02,-3.673650597367647541e-02,4.422427473029418854e-01,5.255895823728928828e-03,-3.644472155416189629e-03
2.799999999999993605e-01,4.341736160772583508e-01,3.842082390678878273e-02,-4.575793367314397869e-02,4.341739835249182056e-01,3.841691749778777115e-02,-4.575262829083374255e-02,4.435745839767417653e-01,6.309750662652574560e-03,-5.071604895712122918e-03
2.899999999999991473e-01,4.329470616216131718e-01,4.636433639214431607e-02,-5.530806553730865244e-02,4.329479308178909580e-01,4.635982356610856420e-02,-5.530184933152638288e-02,4.445804049815507142e-01,7.908971602562986369e-03,-6.644477977525320433e-03
2.999999999999989342e-01,4.310684535764581216e-01,5.462687108610494308e-02,-6.524269579082146719e-02,4.310697708741596523e-01,5.462207092745475362e-02,-6.523615076982922090e-02,4.454409626094455454e-01,8.822657181311394092e-03,-9.136932475375503238e-03
3.100000000000004974e-01,4.285061180796497227e-01,6.309695606083789987e-02,-7.542344297511946460e-02,4.285075501254704267e-01,6.309272937749575705e-02,-7.541773921111968870e-02,4.460212242189521836e-01,1.026648251234690834e-02,-1.219921795669842712e-02
3.200000000000002842e-01,4.252483747045372464e-01,7.167327314844484931e-02,-8.572424905207245982e-02,4.252459964357494515e-01,7.167804819504332292e-02,-8.572940037802982693e-02,4.467123049413971314e-01,1.222747959881084756e-02,-1.495711461278981247e-02
3.300000000000000711e-01,4.213011716924078831e-01,8.026540093898679173e-02,-9.603240012120201063e-02,4.212960940790145270e-01,8.027433498829948666e-02,-9.604246386842793526e-02,4.473912220331623946e-01,1.471985553453053486e-02,-1.818017652693659780e-02
3.399999999999998579e-01,4.166853525583834039e-01,8.879405881190212402e-02,-1.062489147483628577e-01,4.166732647305356196e-01,8.881303120787144290e-02,-1.062705838523485963e-01,4.480743660622088509e-01,1.757199492375183247e-02,-2.142885742654476733e-02
3.499999999999996447e-01,4.114338199765454340e-01,9.719097930410700026e-02,-1.162884526092580889e-01,4.114190045370414994e-01,9.721171276004103579e-02,-1.163113758625648336e-01,4.484514934715435608e-01,1.951592969597304439e-02,-2.546823792054853097e-02
3.599999999999994316e-01,4.055887779181960862e-01,1.053985046074175091e-01,-1.260788640427166207e-01,4.055685319267310351e-01,1.054242589951232822e-01,-1.261063692561626981e-01,4.486029563196368697e-01,2.161969728192530971e-02,-2.978518171519350943e-02
3.699999999999992184e-01,3.991991741952652939e-01,1.133689843297499000e-01,-1.355604799047682718e-01,3.991783620704179580e-01,1.133938163643437858e-01,-1.355846229786679125e-01,4.484860585761252239e-01,2.354336976709600626e-02,-3.442099122102926234e-02
3.799999999999990052e-01,3.923184156315160931e-01,1.210640368474424217e-01,-1.446852209936569378e-01,3.922957356099096571e-01,1.210902297026234253e-01,-1.447073886649217211e-01,4.482122208693534171e-01,2.589813625153508658e-02,-3.887000544859720019e-02
3.900000000000005684e-01,3.850023883372800659e-01,1.284537260965982475e-01,-1.534155968511268509e-01,3.849850237274820008e-01,1.284754859847390129e-01,-1.534275011035461933e-01,4.480116844272981069e-01,2.844477159837244251e-02,-4.291857344835436905e-02
4.000000000000003553e-01,3.773077978568994406e-01,1.355156961825625672e-01,-1.617236431078663828e-01,3.772930160129778776e-01,1.355362930229314644e-01,-1.617294263665974841e-01,4.477134344845935532e-01,3.094350307177967663e-02,-4.743904916311592057e-02
4.100000000000001421e-01,3.692908221389684664e-01,1.422342977764043948e-01,-1.695898361353629646e-01,3.692775671575532215e-01,1.422543216625827278e-01,-1.695916750984965971e-01,4.474750317323128446e-01,3.405831230627076600e-02,-5.217823528749332418e-02
4.199999999999999289e-01,3.610060442635505407e-01,1.485997321552409156e-01,-1.770020304459126448e-01,3.609989778882996547e-01,1.486160092759510054e-01,-1.769965551969416573e-01,4.471523979587680442e-01,3.651190034012025132e-02,-5.671315500867857295e-02
4.299999999999997158e-01,3.525056532989878089e-01,1.546072347487485454e-01,-1.839544342707129521e-01,3.525012665224067088e-01,1.546222306702359772e-01,-1.839456910240281073e-01,4.466290607720404537e-01,3.911815237204033235e-02,-6.141581618688507493e-02
4.399999999999995026e-01,3.438388572048833858e-01,1.602563087706039835e-01,-1.904466521670440948e-01,3.438388469189249119e-01,1.602692637869568282e-01,-1.904337822824576087e-01,4.459625027986126033e-01,4.222840082586304389e-02,-6.622130682433646776e-02
4.499999999999992895e-01,3.350514884380018099e-01,1.655500210997014332e-01,-1.964828066369943282e-01,3.350503051052411974e-01,1.655639223063487542e-01,-1.964703492547401342e-01,4.452441280455693429e-01,4.541809168210153569e-02,-7.090696163599019552e-02
4.599999999999990763e-01,3.261857734856346003e-01,1.704943643488855687e-01,-2.020707353635563530e-01,3.261838506176924501e-01,1.705089437002030028e-01,-2.020582197864489726e-01,4.445123656036853443e-01,4.849033618176021299e-02,-7.536083736976162406e-02
4.699999999999988631e-01,3.172802326228198466e-01,1.750976869463715668e-01,-2.072212712495146159e-01,3.172743464433539495e-01,1.751141358567517015e-01,-2.072107043747441479e-01,4.434839372585582806e-01,5.155022214716761808e-02,-8.105206024223932104e-02
4.800000000000004263e-01,3.083696832701528501e-01,1.793701906595255857e-01,-2.119476050065801365e-01,3.083595155649931918e-01,1.793883964534048747e-01,-2.119387785354417408e-01,4.424225351027403219e-01,5.504708856109780113e-02,-8.639862543976539744e-02
4.900000000000002132e-01,2.994853120125240964e-01,1.833234909365866749e-01,-2.162647325089571138e-01,2.994710536887096874e-01,1.833429157927290998e-01,-2.162574564868625371e-01,4.411053217912436208e-01,5.881302444044070321e-02,-9.138157217888709383e-02
5.000000000000000000e-01,2.906548107298762562e-01,1.869702396064470695e-01,-2.201889790426586613e-01,2.906372913725274176e-01,1.869902968118943853e-01,-2.201826629315729589e-01,4.395258936093952018e-01,6.236087302545265110e-02,-9.670326883246704863e-02
5.099999999999997868e-01,2.819025601452224694e-01,1.903238041185787710e-01,-2.237375886143075088e-01,2.818820273855264791e-01,1.903441656625365075e-01,-2.237320272691918355e-01,4.377784668638144971e-01,6.695750536295155819e-02,-1.014840979350752903e-01
5.199999999999995737e-01,2.732498365441326516e-01,1.933979967242221709e-01,-2.269283774027869016e-01,2.732267199484082476e-01,1.934183643522159879e-01,-2.269232790993500892e-01,4.356960921470557357e-01,7.312584233946509138e-02,-1.064676623871375627e-01
5.299999999999993605e-01,2.647150282521256726e-01,1.962068479800765930e-01,-2.297794475829918470e-01,2.646877436691429941e-01,1.962276450049427190e-01,-2.297751753182981360e-01,4.332308508626929733e-01,7.707462051854538365e-02,-1.124401361812593647e-01
5.399999999999991473e-01,2.563138591280445522e-01,1.987644208698786941e-01,-2.323089540464544356e-01,2.562771435717445812e-01,1.987870503107115328e-01,-2.323068097863129344e-01,4.302981702913334372e-01,8.152604508029048791e-02,-1.186653239449959596e-01
5.499999999999989342e-01,2.480596323633150468e-01,2.010846649529960117e-01,-2.345349108795600768e-01,2.480178549863246706e-01,2.011075476838198317e-01,-2.345332764160125705e-01,4.272679658460806218e-01,8.563329833286006942e-02,-1.247000243614579951e-01
5.600000000000004974e-01,2.399634507801776673e-01,2.031812946641820550e-01,-2.364750327533424734e-01,2.399116856014320565e-01,2.032054835077833632e-01,-2.364748700204168663e-01,4.237266735083657920e-01,9.032394036121699221e-02,-1.304466825099794836e-01
5.700000000000002842e-01,2.320344240562379756e-01,2.050676947020567686e-01,-2.381466187524202971e-01,2.319740937312375073e-01,2.050925112392859850e-01,-2.381471624741035575e-01,4.196866146951887533e-01,9.507481135398029859e-02,-1.364793805756723266e-01
5.800000000000000711e-01,2.242798748514846785e-01,2.067568497932820160e-01,-2.395664622162126389e-01,2.242150515503649744e-01,2.067811628988832917e-01,-2.395665785903643152e-01,4.151660457131366444e-01,9.997442855437996267e-02,-1.428912483784937626e-01
