time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
3.900000000000005684e-01,2.483347673787064114e-01,-2.329564803101471723e-03,-3.078987097142999452e-01,2.483510795612862421e-01,-2.332717583134823625e-03,-3.078911924296749425e-01,4.263087024707924444e-01,6.494759603584929208e-02,-2.474411168724000298e-01
4.000000000000003553e-01,2.487369633349656994e-01,-2.727132993851048501e-03,-3.077296801330725029e-01,2.487530934772599345e-01,-2.730226272763442135e-03,-3.077222941970523262e-01,4.233030143331575346e-01,6.613145563245641234e-02,-2.529709547864137376e-01
4.100000000000001421e-01,2.494211771832211544e-01,-3.124021895598340544e-03,-3.074414774054796684e-01,2.494358443249666268e-01,-3.126980616067659684e-03,-3.074347111582124148e-01,4.194681353527032197e-01,6.758801035210157404e-02,-2.597970517353186404e-01
4.199999999999999289e-01,2.503517106025759942e-01,-3.518917864997468930e-03,-3.070473494606424936e-01,2.503657226838317817e-01,-3.521804460979745602e-03,-3.070408821367491825e-01,4.129029316700290053e-01,6.981231576357441182e-02,-2.706682461730116063e-01
4.300000000000014921e-01,2.514943291389334923e-01,-3.910597250154358197e-03,-3.065595277198915336e-01,2.515065357623170184e-01,-3.913363315054001548e-03,-3.065537919973905789e-01,4.085331710213644385e-01,7.109123100054350053e-02,-2.774361659906902644e-01
4.400000000000012790e-01,2.528164683093050980e-01,-4.297919580738130199e-03,-3.059894325469916243e-01,2.528267549925731772e-01,-4.300575217255834040e-03,-3.059844809026167067e-01,4.046173942498265674e-01,7.201343352150262056e-02,-2.831726843169511953e-01
4.500000000000010658e-01,2.542873899441875918e-01,-4.679822721397971889e-03,-3.053478320699434256e-01,2.542956125932001599e-01,-4.682373777611258461e-03,-3.053437292745335152e-01,4.002205618779172136e-01,7.338131842144388073e-02,-2.894061385369803840e-01
4.600000000000008527e-01,2.558782947660922513e-01,-5.055319604632477724e-03,-3.046449588556519039e-01,2.558845178741769311e-01,-5.057775136648422210e-03,-3.046416831877177267e-01,3.965506449987206139e-01,7.422199825097432202e-02,-2.945067702186512926e-01
4.700000000000006395e-01,2.575623971006320012e-01,-5.423496710012384696e-03,-3.038905896686984187e-01,2.575668400633973065e-01,-5.425864165516229923e-03,-3.038880630193188104e-01,3.924665473821882244e-01,7.484193342070305510e-02,-2.999110587376621617e-01
4.800000000000004263e-01,2.593149658093822363e-01,-5.783513140248227637e-03,-3.030940940083455826e-01,2.593177797105601368e-01,-5.785790382057760285e-03,-3.030922715202523654e-01,3.888387400132827798e-01,7.517529902685803067e-02,-3.047279860913534866e-01
